observation_date,LFACTTTTUSM657S
1960-01-01,-0.046380844711134302
1960-02-01,-0.018850961399031401
1960-03-01,-0.797691047005757992
1960-04-01,1.725171420634799890
1960-05-01,0.067549116831227801
1960-06-01,0.442363484905063997
1960-07-01,-0.270254811679583984
1960-08-01,0.137644275575310004
1960-09-01,0.443865351297948019
1960-10-01,-0.380607546578095979
1960-11-01,0.794173201305020005
1960-12-01,-0.062465395590510897
1961-01-01,0.073868882733148594
1961-02-01,-0.038326685309523503
1961-03-01,0.401874467480829001
1961-04-01,-0.616664073660241008
1961-05-01,0.263281483484423984
1961-06-01,0.604667007324136030
1961-07-01,-0.482519258444086996
1961-08-01,-0.002835431552682300
1961-09-01,-0.449428644341736017
1961-10-01,0.391643049403989973
1961-11-01,-0.164557680304147996
1961-12-01,-0.424860747982266973
1962-01-01,0.159824193387273994
1962-02-01,0.313439427830571993
1962-03-01,0.007101364882330300
1962-04-01,-0.193143408981168996
1962-05-01,0.388457269700333008
1962-06-01,-0.052444331051296200
1962-07-01,-0.300649516408089013
1962-08-01,0.965833119968138032
1962-09-01,0.242318366886912995
1962-10-01,-0.331679619973858975
1962-11-01,-0.064864559978566494
1962-12-01,-0.023987244430020701
1963-01-01,0.412115053490275995
1963-02-01,0.163045006043910007
1963-03-01,0.225926861440880006
1963-04-01,0.383629923134004014
1963-05-01,0.188292397171430009
1963-06-01,-0.286780265062924977
1963-07-01,0.460726551810795026
1963-08-01,-0.236255489465785007
1963-09-01,0.480595102109045991
1963-10-01,0.207954970816985996
1963-11-01,0.189538052876966012
1963-12-01,-0.317600596536773028
1964-01-01,0.232725660774643989
1964-02-01,0.451932113439106997
1964-03-01,0.041275126233094400
1964-04-01,0.771526412058366029
1964-05-01,0.165133608101100005
1964-06-01,-0.494584099734313998
1964-07-01,-0.034231569722861198
1964-08-01,0.152040215321817995
1964-09-01,0.235236193550151990
1964-10-01,0.024559967253376998
1964-11-01,-0.030010367217766100
1964-12-01,0.244248560434461998
1965-01-01,0.141564010072823987
1965-02-01,0.391469232964971992
1965-03-01,0.124565037843400006
1965-04-01,0.377287049182545020
1965-05-01,0.320633723123349978
1965-06-01,-0.072516316171138503
1965-07-01,0.469010374670752017
1965-08-01,-0.193951391768435011
1965-09-01,-0.152782245094885999
1965-10-01,0.450994604171700009
1965-11-01,-0.054785002271573298
1965-12-01,0.395737796970467015
1966-01-01,0.123846430426270998
1966-02-01,-0.308568084483813010
1966-03-01,0.161432345171704988
1966-04-01,0.350316350316350000
1966-05-01,0.144681302928136996
1966-06-01,0.265086749638819008
1966-07-01,0.117651724457017007
1966-08-01,0.409316573360092972
1966-09-01,0.013149935565315700
1966-10-01,0.188019354160092994
1966-11-01,0.539377157180540023
1966-12-01,0.040464691293564801
1967-01-01,-0.002609569290588500
1967-02-01,-0.153968606062188013
1967-03-01,-0.252218345290834978
1967-04-01,0.588250707473011003
1967-05-01,-0.005209893587923400
1967-06-01,0.647363005223190013
1967-07-01,0.251067684741814012
1967-08-01,0.320148714241454024
1967-09-01,0.128680255301626995
1967-10-01,0.490926849329151982
1967-11-01,-0.003836611504719000
1967-12-01,0.383675870624495985
1968-01-01,-1.163190684282269904
1968-02-01,0.840444455902445986
1968-03-01,0.033235331714176197
1968-04-01,0.017890002044571699
1968-05-01,0.737191772071036033
1968-06-01,0.346240186690679019
1968-07-01,-0.189585439838219988
1968-08-01,-0.201342281879195006
1968-09-01,0.059636345180241301
1968-10-01,0.069745618707043003
1968-11-01,0.375096625397589978
1968-12-01,0.320670630862654016
1969-01-01,0.075506839661225997
1969-02-01,0.623718924084855963
1969-03-01,0.074982191729464201
1969-04-01,0.252250902234044005
1969-05-01,-0.194317459922024011
1969-06-01,0.712636505460217951
1969-07-01,0.162337662337662003
1969-08-01,0.345181684338153993
1969-09-01,0.226863610583681014
1969-10-01,0.250953376799114003
1969-11-01,-0.119027167644243995
1969-12-01,0.278880057004557980
1970-01-01,0.437371361364304989
1970-02-01,0.207365121186616014
1970-03-01,0.422392910615817019
1970-04-01,0.277582486848165999
1970-05-01,-0.294946027294595015
1970-06-01,0.001212371034031200
1970-07-01,0.505552592017845970
1970-08-01,-0.025331419403867302
1970-09-01,0.089285714285714302
1970-10-01,0.388166935892180986
1970-11-01,0.326624717805850007
1970-12-01,0.146023842581509994
1971-01-01,0.215130871280029001
1971-02-01,-0.294573643410853014
1971-03-01,-0.033491621114074797
1971-04-01,0.443912653305414018
1971-05-01,0.225144735901650989
1971-06-01,-0.509894811909430978
1971-07-01,0.757412849735980998
1971-08-01,0.394830448185914007
1971-09-01,0.068498813080911297
1971-10-01,0.166408988445786998
1971-11-01,0.690451503440475012
1971-12-01,0.195417632053172002
1972-01-01,0.412262773722627984
1972-02-01,0.067459117448649603
1972-03-01,0.668324887256496969
1972-04-01,0.003463763263326800
1972-05-01,0.225136813909990990
1972-06-01,0.226934995219390007
1972-07-01,0.157460405029538009
1972-08-01,0.429179624295698003
1972-09-01,-0.142829393146473999
1972-10-01,0.113282680336872998
1972-11-01,0.115440445302945005
1972-12-01,0.400721527080099005
1973-01-01,-0.518517676222097990
1973-02-01,1.002434647433330106
1973-03-01,0.545471006292154947
1973-04-01,0.193593408819756008
1973-05-01,-0.046058100608865601
1973-06-01,0.641738876338828979
1973-07-01,0.062536293384553507
1973-08-01,-0.106022052586938004
1973-09-01,0.367560803941502978
1973-10-01,0.326142612257618980
1973-11-01,0.649055264004615995
1973-12-01,0.191807398915295996
1974-01-01,0.339971393992738014
1974-02-01,0.313599929823791979
