observation_date,QUSR628BIS
1970-01-01,60.766000000000005
1970-04-01,60.209499999999998
1970-07-01,60.478299999999997
1970-10-01,60.422800000000002
1971-01-01,61.606099999999998
1971-04-01,62.596600000000002
1971-07-01,62.604399999999998
1971-10-01,63.798000000000002
1972-01-01,63.524200000000000
1972-04-01,64.805700000000002
1972-07-01,65.464200000000005
1972-10-01,66.264399999999995
1973-01-01,68.332800000000006
1973-04-01,68.435599999999994
1973-07-01,68.679599999999994
1973-10-01,68.556899999999999
1974-01-01,68.302199999999999
1974-04-01,67.718199999999996
1974-07-01,67.482900000000001
1974-10-01,65.923400000000001
1975-01-01,66.469600000000000
1975-04-01,67.336399999999998
1975-07-01,67.110500000000002
1975-10-01,67.287700000000001
1976-01-01,64.928700000000006
1976-04-01,66.079400000000007
1976-07-01,66.727699999999999
1976-10-01,68.611000000000004
1977-01-01,70.265400000000000
1977-04-01,71.973999999999990
1977-07-01,73.470100000000002
1977-10-01,74.680700000000002
1978-01-01,76.607500000000002
1978-04-01,77.233199999999997
1978-07-01,78.539400000000001
1978-10-01,79.159300000000002
1979-01-01,80.712500000000006
1979-04-01,81.512900000000002
1979-07-01,81.801299999999998
1979-10-01,82.357999999999990
1980-01-01,81.017700000000005
1980-04-01,79.124799999999993
1980-07-01,80.183800000000005
1980-10-01,79.762000000000000
1981-01-01,79.160600000000002
1981-04-01,78.333900000000000
1981-07-01,76.880799999999994
1981-10-01,76.713800000000006
1982-01-01,76.399400000000000
1982-04-01,75.394400000000005
1982-07-01,74.060400000000001
1982-10-01,74.379900000000006
1983-01-01,75.224299999999999
1983-04-01,75.276300000000006
1983-07-01,75.408600000000007
1983-10-01,75.680800000000005
1984-01-01,75.723799999999997
1984-04-01,75.908199999999994
1984-07-01,76.214200000000005
1984-10-01,76.191199999999995
1985-01-01,76.609099999999998
1985-04-01,77.347300000000004
1985-07-01,77.455900000000000
1985-10-01,78.250900000000001
1986-01-01,79.659599999999998
1986-04-01,81.390400000000000
1986-07-01,82.654600000000002
1986-10-01,83.507999999999996
1987-01-01,85.279499999999999
1987-04-01,86.047999999999988
1987-07-01,86.932999999999979
1987-10-01,87.939300000000003
1988-01-01,88.765199999999993
1988-04-01,89.855599999999995
1988-07-01,91.132400000000004
1988-10-01,92.493899999999996
1989-01-01,93.407300000000006
1989-04-01,93.296199999999999
1989-07-01,93.810599999999994
1989-10-01,94.100200000000001
1990-01-01,93.764499999999998
1990-04-01,92.934500000000000
1990-07-01,91.134500000000003
1990-10-01,89.281599999999997
1991-01-01,87.864099999999993
1991-04-01,87.973399999999998
1991-07-01,87.003200000000007
1991-10-01,86.135400000000004
1992-01-01,85.709500000000006
1992-04-01,84.876599999999996
1992-07-01,84.089399999999998
1992-10-01,83.745400000000004
1993-01-01,83.290800000000004
1993-04-01,83.064599999999999
1993-07-01,83.327399999999997
1993-10-01,83.507900000000006
1994-01-01,83.241900000000001
1994-04-01,83.203299999999999
1994-07-01,82.870000000000005
1994-10-01,82.847099999999998
1995-01-01,82.456100000000006
1995-04-01,82.261799999999994
1995-07-01,82.635800000000003
1995-10-01,82.663600000000002
1996-01-01,82.612000000000009
1996-04-01,82.384900000000002
1996-07-01,82.413100000000000
1996-10-01,82.332899999999995
1997-01-01,82.451800000000006
1997-04-01,82.958299999999994
1997-07-01,83.651700000000005
1997-10-01,84.578699999999998
1998-01-01,86.030199999999994
1998-04-01,86.718999999999994
1998-07-01,87.912700000000001
1998-10-01,89.273200000000003
1999-01-01,90.304199999999994
1999-04-01,91.204400000000007
1999-07-01,92.419399999999996
1999-10-01,93.829999999999998
2000-01-01,95.199100000000001
2000-04-01,96.627799999999993
2000-07-01,97.938599999999994
2000-10-01,99.625100000000003
2001-01-01,101.047300000000007
2001-04-01,101.766499999999994
2001-07-01,103.569500000000005
2001-10-01,105.579599999999999
2002-01-01,107.110399999999998
2002-04-01,108.722999999999999
2002-07-01,111.024400000000000
2002-10-01,112.930099999999996
2003-01-01,114.065500000000000
2003-04-01,116.096100000000007
2003-07-01,118.890100000000004
2003-10-01,122.756900000000002
2004-01-01,125.797399999999996
2004-04-01,128.934699999999992
2004-07-01,132.862899999999996
2004-10-01,137.056000000000012
2005-01-01,141.805000000000007
2005-04-01,145.478600000000000
2005-07-01,148.703300000000013
2005-10-01,152.056700000000006
2006-01-01,154.056600000000003
2006-04-01,150.419900000000013
2006-07-01,148.460499999999996
2006-10-01,149.741800000000012
2007-01-01,146.769000000000005
2007-04-01,139.740800000000007
2007-07-01,135.488400000000013
2007-10-01,130.226400000000012
2008-01-01,123.725600000000000
2008-04-01,115.589299999999994
2008-07-01,109.183999999999997
2008-10-01,106.579700000000003
2009-01-01,104.011499999999998
2009-04-01,102.909099999999995
2009-07-01,102.504700000000000
2009-10-01,102.891000000000005
2010-01-01,101.522499999999994
2010-04-01,101.375500000000002
2010-07-01,99.123099999999994
2010-10-01,97.994699999999995
2011-01-01,95.094200000000001
2011-04-01,93.976200000000006
2011-07-01,93.969700000000003
2011-10-01,94.020499999999998
2012-01-01,94.125200000000007
2012-04-01,95.756100000000004
2012-07-01,97.466600000000000
2012-10-01,99.576800000000006
2013-01-01,101.497200000000007
2013-04-01,103.579599999999999
2013-07-01,105.772300000000001
2013-10-01,108.135199999999998
2014-01-01,108.778499999999994
2014-04-01,108.206900000000005
2014-07-01,109.520499999999998
2014-10-01,112.124700000000004
2015-01-01,114.161100000000005
2015-04-01,114.132499999999993
2015-07-01,115.465299999999999
2015-10-01,117.705600000000004
2016-01-01,119.069699999999997
